Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
Staff of legal,PT Semen Indonesia (Persero) Tbk - PT Semen Tonasa,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,Requirement: Hukum Perdata,https://rekrutmenbersama.fhcibumn.id/job/detail/98ED170B069982D07B04B02F00F5BA28
Staf Perenc. Evaluasi Pemeliharaan,PT Semen Indonesia (Persero) Tbk - PT Semen Tonasa,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Industri,Requirement: Menguasai sistem inventory,https://rekrutmenbersama.fhcibumn.id/job/detail/A9293F9CAA1C26F03A78A49BF2B28098
Legal Officer,PT Semen Indonesia (Persero) Tbk - PT Semen Padang,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Menguasai Ms Office (intermediate)
Kemampuan berkomunikasi
Memahami administrasi hukum
Data Analytic",https://rekrutmenbersama.fhcibumn.id/job/detail/FE98EEA6D5F398AF2C1373DF7B3AB236
QC Officer,PT Semen Indonesia (Persero) Tbk - PT Semen Padang,Analyst Research,Sarjana S1 / Diploma IV,Kimia,"Menguasai Ms Office (intermediate)
Kemampuan menganalisa dan evaluasi
Pemahaman analisa kimia dan uji lab
Data analytic",https://rekrutmenbersama.fhcibumn.id/job/detail/2F892D33F06E6F65BB7CF73728C60DD9
Staff Keuangan & Akutansi,PT Semen Indonesia (Persero) Tbk - PT Semen Gresik,Keuangan,Sarjana S1 / Diploma IV,Manajemen Akuntansi,"Requirement:

Menguasai Perpajakan dan sertifikasi PSAK & Budgeting",https://rekrutmenbersama.fhcibumn.id/job/detail/367854AE240FAA4F62BB2DAA5E3A29E7
PROCESS ENGINEER,"PT Semen Indonesia (Persero) Tbk - PT. Solusi Bangun Indonesia, Tbk",Engineering and Maintenance,Sarjana S1 / Diploma IV,"Teknik Mesin
Teknik Kimia
Teknik Industri
Teknik Elektro","Memiliki pengetahuan mengenai process improvement
Lebih diutamakan yang memiliki pengalaman dalam bidang material handling, grinding, atau pyro-processing
Pengalaman dalam project management menjadi nilai lebih
Menguasai Microsoft Office dan aplikasi Google
Dapat berkomunikasi dengan baik menggunakan Bahasa Indonesia dan Bahasa Inggris, baik lisan maupun tulisan",https://rekrutmenbersama.fhcibumn.id/job/detail/3555BF79B88FF2AB587B8ACA4319CAA6
Branch Office - Customer Services,PT Asabri (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,"Pendidikan minimal D4/S1 semua jurusan
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Diutamakan berdomisili di Balikpapan, Makassar, Lhokseumawe, Batam, Pekanbaru, Bengkulu, Kupang, Banjarmasin, Palangka Raya, Palu, Kendari, dan Ternate
Memiliki pengalaman di Perusahaan sejenis adalah nilai tambah.",https://rekrutmenbersama.fhcibumn.id/job/detail/02A5CD4C50EAF9A7E05EEEE4EC93DD85
Branch Office - Administration Staff,PT Asabri (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,Empty Cause Error Network,https://rekrutmenbersama.fhcibumn.id/job/detail/2067D43DFDFFA51521B7CB9BA6FDE163
Internal Audit Staff,PT Asabri (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,"Teknik Industri
Sistem Teknologi Informasi
Manajemen","Pendidikan minimal D4/S1 terakreditasi, jurusan Manajemen/Teknik Industri/Sistem Informasi
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman audit/assesmen atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/EE33360ABD15B73E0ADBCB579B40169E
Corporate Social Responsibility (CSR) Staff,PT Asabri (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Public Relations
Manajemen
Keuangan
Ilmu Komunikasi
Administrasi","Pendidikan minimal D4/S1 terakreditasi, jurusan Keuangan/ Administrasi/Manajemen/Public Relation/Komunikasi
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Corporate Social Responsibility/Commercial Banking atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/FBAA2748AE6144776577679B617F0136
Change Management Staff,PT Asabri (Persero),Sistem Management and Safety,Sarjana S1 / Diploma IV,"Teknik Industri
Statistik
Sistem Teknologi Informasi
Manajemen","Pendidikan minimal D4/S1 terakreditasi, jurusan Sistem Informasi/Sistem Informas/Statistik/Manajemen/Teknik Industri
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Business Process Management/Quality Management System/Change management/Research and Development atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/8DEE6A25DD78C3716810278A2829E7F9
Actuarial Staff,PT Asabri (Persero),Analyst Research,Sarjana S1 / Diploma IV,"Statistik
Matematika
Asuransi
Aktuaria","Pendidikan minimal D4/S1 terakreditasi, jurusan Aktuaria/ Matematika/Statistik/Asuransi
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Actuarial Valuation atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/82247C09284F5DC0F753AAC72393324D
Data Management Staff,PT Asabri (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,"Statistik
Sistem Teknologi Informasi
Manajemen
Administrasi Bisnis","Pendidikan minimal D4/S1 terakreditasi, jurusan Administrasi Bisnis/Manajemen/Statistik/Teknologi Informasi/Teknik Industri
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Data Collecting Management atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/B8191DD2E805F322B01CED2FB383CE80
Organization Development and Performance Management Staff,PT Asabri (Persero),SDM / HC,Sarjana S1 / Diploma IV,Semua Jurusan,"Pendidikan minimal D4/S1 terakreditasi, diutamakan jurusan Teknologi Informasi/Sistem Informasi/Manajemen Sumber Daya Manusia/Psikologi/Hukum
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Organization Development/Performance Management/ Human Resource Management atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/FF9F56959432CEB7E1F28C295FEDAA25
Learning and Culture Staff,PT Asabri (Persero),SDM / HC,Sarjana S1 / Diploma IV,Semua Jurusan,"Pendidikan minimal D4/S1 terakreditasi, diutamakan jurusan Sistem Informasi/Teknik Informatika/Teknologi Pendidikan/Psikologi
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Learning and Development/Culture Development/ Knowledge Mangement/Human Resources Management atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/46E52B2AC3F402510CFD3BD7AC329D99
HR Services Staff,PT Asabri (Persero),SDM / HC,Sarjana S1 / Diploma IV,Semua Jurusan,"Pendidikan minimal D4/S1 terakreditasi, diutamakan jurusan Manajemen Sumber Daya Manusia/Psikologi/Teknik Industri/Hukum
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Human Resource Business Partner/Human Resource Services/Human Resource Operations atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/D42C0149D98576DA07E223B0040F3660
Assets Management Staff,PT Asabri (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Sipil
Teknik Informatika
Sistem Teknologi Informasi
Manajemen
Ekonomi
Administrasi Bisnis","Pendidikan minimal D4/S1 terakreditasi, jurusan Ekonomi/ Manajemen/Administrasi Bisnis/Teknik Sipil/Teknologi Informasi/Teknik Informatika
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Assets Management atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/AFF7A802647BB19D265B7A829CB6D6F2
Compliance Staff,PT Asabri (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum","Pendidikan minimal D4/S1 terakreditasi, jurusan Hukum/Manajemen
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Legal and Compliance atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/119D24F1AEEA892AA649810799586009
Finance Staff,PT Asabri (Persero),Keuangan,Sarjana S1 / Diploma IV,"Perpajakan/Pajak
Keuangan
Ekonomi
Akuntansi","Pendidikan minimal D4/S1 terakreditasi, jurusan Keuangan/ Akuntansi/Perpajakan/Ekonomi
Usia minimal 20 tahun dan maksimal 30 tahun di tahun 2022
Menguasai Microsoft Office
Memiliki kemampuan interpersonal skill
Memiliki digital mindset dan pengetahuan digital
Bersedia ditempatkan pada Unit Kerja Perusahaan di seluruh wilayah Indonesia
Memiliki pengalaman Finance/Accounting atau pengalaman di Perusahaan sejenis minimal 1 tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/CCCC7BC3AB84106EFCFC1A75AD946091
Staf Administrasi Personalia,Perum Damri,SDM / HC,Sarjana S1 / Diploma IV,Manajemen,"Pendidikan minimal S1 Manajemen
Menguasai Ms. Office (Ms. Word, Excel dll)
Memiliki logika yang baik, kemampuan analitis yang kuat dan berorientasi pada detail
Memiliki kemampuan interpersonal dan komunikasi yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/8DC72FC98DD910E606D0B41F5DCB5FA2
Staf Hukum Bisnis,Perum Damri,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Pendidikan minimal S1 Hukum
Memiliki pengetahuan dan pemahaman dalam proses drafting dan review perjanjian dengan pihak ketiga
Memahami prinsip dasar hukum perjanjian
Memiliki kemampuan interpersonal dan komunikasi yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/84DDCE1FAA0663F85B5968F9ADE433F1
Staf Pengembangan Karyawan,Perum Damri,SDM / HC,Sarjana S1 / Diploma IV,Manajemen,"Pendidikan minimal S1 Manajemen atau Psikologi
Mampu membuat dan mengembangkan materi training
Memiliki ketertarikan pada bidang people development
Memiliki kemampuan berpikir analitis, kreatif, interpersonal dan komunikasi yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/7195F6F6840DB2EB8E949EAA522AA525
Staf Desain Komunikasi Visual,Perum Damri,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Ilmu Komunikasi
Desain Komunikasi Visual
Desain Grafis","Pendidikan minimal S1 Desain Komunikasi Visual (DKV) , atau yang setara
Menguasai Adobe Photoshop , Adobe Illustrator dan software terkait lainnya
Pengetahuan dasar tentang layout, tipografi, komposisi garis, warna, dan dasar-dasar desain grafis lainnya
Memiliki kemampuan berfikir kreatif dan problem solving yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/E4CCC1DEC65AA45246C2CA2A762323C2
Staf Komunikasi Perusahaan,Perum Damri,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Public Relations
Ilmu Komunikasi","Pendidikan minimal S1 Komunikasi atau Hubungan Masyarakat
Menguasai teknik penulisan berita dan press release
Memiliki kemampuan scriptwriting
Memiliki kemampuan berfikir kreatif dan problem solving yang baik
Memiliki kemampuan interpersonal dan komunikasi yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/8D66A4E60F013036555401BB912B3067
Asisten Tanaman,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Hama Penyakit Tanaman
Budidaya Perkebunan
Agroteknologi
Agronomi","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/12AF32D5B3613A470E19F2949748B915
Asisten Teknik & Pengolahan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Mesin
Teknik Elektro","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/925A5F4FDEAB635D1976F0AD2B1551F1
Asisten Akuntansi & Keuangan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Laki-laki/Perempuan
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/4E03B7EC3BE9D65E60EB243D32B30885
Asisten SDM & Umum,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,SDM / HC,Sarjana S1 / Diploma IV,Ilmu Hukum,"Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/81540D34DD3E97AE0F8106E36C9392FA
Asisten Tanaman,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Sosial Ekonomi
Pertanian
Agronomi","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/CE94F6E10EECFDD589A65B67C871DD98
Asisten Teknik & Pengolahan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Sipil
Teknik Kimia
Teknik Industri
Teknik Elektro","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/9892FD9F207527707FBFF10498C2F3D7
Asisten Akuntansi & Keuangan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,Keuangan,Sarjana S1 / Diploma IV,"Manajemen
Akuntansi","Laki-laki/Perempuan
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/AF6FC1F4A06FC8764D8F55EA49CFEFFE
Asisten SDM & Umum,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,SDM / HC,Sarjana S1 / Diploma IV,"Sosial
Manajemen
Ilmu Hukum","Laki-laki/Perempuan
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/6E0A6790817151E0C451EFBEF2316875
Asisten Tanaman,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Pertanian
Agronomi
Agribisnis","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/EA18FC44BC862EA3E168EDB9C956C114
Asisten Teknik & Pengolahan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Mesin
Teknik Kimia
Teknik Industri
Teknik Elektro","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/07F4EDFA6AE877775809C21D1F1259C1
Asisten Akuntansi & Keuangan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Keuangan,Sarjana S1 / Diploma IV,"Manajemen
Ekonomi Pembangunan
Akuntansi","Diutamakan Laki-laki
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/791BC6C1EA09C4B214EC2471B3C095A1
Asisten SDM & Umum,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,SDM / HC,Sarjana S1 / Diploma IV,Psikologi,"Laki-laki/Perempuan
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/0045741DDA6921DA137890FA075F9F13
Asisten Teknologi Informasi,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Informatika
Sistem Teknologi Informasi","Laki-laki/Perempuan
Usia Maksimal 28 thn
IPK Min 2,75 (PTN); 3,00 (PTS)",https://rekrutmenbersama.fhcibumn.id/job/detail/AA969C6A3F5D46E64F4706D5AB10E6F0
IT Helpdesk,PT Brantas Abipraya (Persero),Digitalisasi and IT,Diploma III,"Teknik Informatika
Sistem Teknologi Informasi
Ilmu Komputer","Pengalaman kerja sebagai network engineer minimal 1 tahun
IPK minimal 3.00
Pengalaman bekerja dengan Sistem Operasi Linux/Ubuntu
Memiliki pemahaman yang kuat tentang teknologi jaringan seperti switching, routing, networking(TCP,/IP,LAN,/WAN), firewall, bandwidth management, monitoring system, maintaining internet
Memiliki pemahaman yang kuat tentang Windows Servers, Linux Servers, SAN Storage, Vmware, Backup System, Active Directory
Memiliki pemahaman yang kuat tentang monitoring tools & management services seperti Zabbix, Nagios, dll
Memiliki pengetahuan terkait perangkat IoT (Internet Of Things)
Jujur, rajin, teliti, inovatif dan komunikatif serta dapat bekerjasama dalam team
Memiliki kemampuan komunikasi yang baik
Memiliki kemampuan analytical dan problem-solving
Sanggup bekerja sesuai target
Berpengalaman Menganalisa, merancang, mengelola dan mengatasi permasalahan pada sistem jaringan
Berpengalaman dalam merencanakan kapasitas berdasarkan pertumbuhan organisasi dan bisnis, tren teknologi & faktor lainnya
Berpengalaman dalam menciptakan standar desain jaringan fisik dan logis
Berpengalaman dalam pengelolaan aset jaringan, termasuk pemeliharaan persediaan komponen dan dokumentasi terkait serta spesifikasinya
Berpengalaman menggunakan cromware7, procurve/provision, fortigate, mikrotik & Cisco Network Device
Diutamakan memiliki Sertifikasi jaringan dan / atau Keamanan seperti CCNA & sejenisnya",https://rekrutmenbersama.fhcibumn.id/job/detail/0153E12AFA0B00006C929A599B5F0355
IT Infrastructure & Operations,PT Brantas Abipraya (Persero),Digitalisasi and IT,Diploma III,"Teknik Informatika
Sistem Teknologi Informasi
Ilmu Komputer","Pengalaman kerja sebagai network engineer minimal 1 tahun
IPK minimal 3.00
Pengalaman bekerja dengan Sistem Operasi Linux/Ubuntu
Memiliki pemahaman yang kuat tentang teknologi jaringan seperti switching, routing, networking (TCP, / IP, LAN, / WAN), firewall, bandwidth management, monitoring system, maintaining internet
Memiliki pemahaman yang kuat tentang Windows Servers, Linux Servers, SAN Storage, Vmware, Backup System, Active Directory
Memiliki pemahaman yang kuat tentang monitoring tools & management services seperti Zabbix, Nagios, dll
Memiliki pengetahuan terkait perangkat IoT (Internet Of Things)
Jujur, rajin, teliti, inovatif dan komunikatif serta dapat bekerjasama dalam team
Memiliki kemampuan komunikasi yang baik
Memiliki kemampuan analytical dan problem-solving
Sanggup bekerja sesuai target
Berpengalaman Menganalisa, merancang, mengelola dan mengatasi permasalahan pada sistem jaringan
Berpengalaman dalam merencanakan kapasitas berdasarkan pertumbuhan organisasi dan bisnis, tren teknologi & faktor lainnya
Berpengalaman dalam menciptakan standar desain jaringan fisik dan logis
Berpengalaman dalam pengelolaan aset jaringan, termasuk pemeliharaan persediaan komponen dan dokumentasi terkait serta spesifikasinya
Berpengalaman menggunakan cromware7, procurve/provision, fortigate, mikrotik & Cisco Network Device
Diutamakan memiliki Sertifikasi jaringan dan / atau Keamanan seperti CCNA & sejenisnya",https://rekrutmenbersama.fhcibumn.id/job/detail/4FE011356A128ADFB8D4A6D937EDB024
IT Development,PT Brantas Abipraya (Persero),Developer Information Technology,Diploma III,"Teknik Informatika
Sistem Teknologi Informasi
Ilmu Komputer","IPK minimal 3.00
Pengalaman kerja sebagai programmer minimal 1 tahun
Menguasai Pemrograman dengan PHP, Java & Phyton
Memahami WebServices / Restful API
Menguasai Javascript, HTML, CSS, & AJAX
Mempunyai kemampuan dalam web design
Menguasai Database MySQL dan PostgreSQL
Mampu bekerja di sistem operasi windows / Linux
Jujur, rajin, teliti, inovatif dan komunikatif serta dapat bekerjasama dalam team
Memiliki kemampuan komunikasi yang baik
Memiliki kemampuan analytical dan problem-solving
Sanggup bekerja sesuai target
Memahami konsep Pemrograman OOP
Memahami konsep UML
Memiliki pengalaman terkait pengembangan ODOO
Memahami konsep dasar jaringan
Diutamakan memiliki Sertifikat Keahlian di bidang Teknologi Informasi",https://rekrutmenbersama.fhcibumn.id/job/detail/65536EAAF11E756C501C373D4719765E
Staf Inovasi & Teknologi,PT Brantas Abipraya (Persero),Developer Information Technology,Diploma III,"Teknik Informatika
Sistem Teknologi Informasi
Ilmu Komputer","IPK minimal 3.00
Pengalaman kerja minimal 1 tahun
Mengetahui Teknologi Web dan Mobile
Mengetahui Teknologi Infrastructure Networking
Mengetahui Teknologi Perangkat Internet of Things (IoT)
Mengetahui Teknologi Business Intelligence
Memahami Metodologi Project Management
Menguasai Microsoft Office
Jujur, rajin, teliti, inovatif dan komunikatif serta dapat bekerjasama dalam team
Memiliki kemampuan komunikasi yang baik
Memiliki kemampuan analytical dan problem-solving
Sanggup bekerja sesuai target",https://rekrutmenbersama.fhcibumn.id/job/detail/2E15B2370B6927AC4657C1BC81419E3E
Associate,PT Pupuk Indonesia (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Bioteknologi,Requirement: Minimal pengalaman kerja 2 tahun,https://rekrutmenbersama.fhcibumn.id/job/detail/544E11C1923842AD272D300666177329
Associate,PT Pupuk Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,Bisnis Digital,Requirement: Minimal pengalaman kerja 2 tahun,https://rekrutmenbersama.fhcibumn.id/job/detail/2EDC151C8851B7BF08F20FC9F6170093
Associate,PT Pupuk Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,Data Sicence & Artificial Intelligence,Requirement: Minimal pengalaman kerja 2 tahun,https://rekrutmenbersama.fhcibumn.id/job/detail/E53CD7E244F31918F77C08A7D5E7487C
Associate,PT Pupuk Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,Teknik Robotika,Requirement: Minimal pengalaman kerja 2 tahun,https://rekrutmenbersama.fhcibumn.id/job/detail/DFC489D72CA854817CD0DF342177696D
Associate,PT Pupuk Indonesia (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Kimia,"Minimal pengalaman kerja 2 tahun
Pengalaman bekerja di Project",https://rekrutmenbersama.fhcibumn.id/job/detail/C1B766403BD2254039AA559DE4164C1B
Product Development & Design,Perum Percetakan Uang Republik Indonesia,Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,"Seni Rupa dan Desain
Desain Komunikasi Visual","Syarat Umum:
Warga Negara Indonesia
Usia maksimal per 1 Desember 2022 maksimal 30 tahun
IPK minimal 2,75 untuk lulusan perguruan tinggi
Bersedia ditempatkan di seluruh wilayah kerja Peruri
Sehat jasmani, rohani dan bebas narkoba
Sertifikasi pelatihan yang sesuai dengan kompetensi dan rekomendasi pengalaman kerja apabila ada",https://rekrutmenbersama.fhcibumn.id/job/detail/CCDEC82001036F5DEF6F19BCA44EA43C
Production Operator,Perum Percetakan Uang Republik Indonesia,Operasi / Produksi / Proyek,Diploma III,Teknik Grafika,"Syarat Umum:
Warga Negara Indonesia
Usia maksimal per 1 Desember 2022 maksimal 27 tahun
IPK minimal 2,75 untuk lulusan perguruan tinggi
Bersedia ditempatkan di seluruh wilayah kerja Peruri
Sehat jasmani, rohani dan bebas narkoba
Sertifikasi pelatihan yang sesuai dengan kompetensi dan rekomendasi pengalaman kerja apabila ada.",https://rekrutmenbersama.fhcibumn.id/job/detail/9BBE848CAE79D732ABEEC323734ED600
Manajemen Trainee,PT Jasa Marga (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Industri
Manajemen bisnis","Hard Competency
Diutamakan memiliki kemampuan analisa dan presentasi yang baik
Menguasai microsoft office
Soft Competency
Memiliki kompetensi : Learning Agility; Reasoning & Problem Solving Ideation; Creativity, Originality, Initiative; Technology Use, Monitoring And Control; Critical Thinking And Analysis; Complex Problem Solving; Resilience, Stress Tolerance And Flexibility; People Management; Leadership And Social Influence; Technology Design And Programming",https://rekrutmenbersama.fhcibumn.id/job/detail/ACC2902E718205BF931A168E17210FFA
Staff,Perum Jasa Tirta II,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"Memahami prinsip dalam penyusunan akuntansi keuangan
Memahami prosedur penyusunan anggaran dan pelaporan penggunaan anggaran yang berlaku di perusahaan
Dapat melakukan administrasi dan pengumpulan data serta informasi yang dibutuhkan untuk penyusunan anggaran dan pelaporan penggunaan anggaran
Menguasai pengolahan data menggunakan Ms. Excel
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/6E226A4096A946B163FCD9491EF3CA29
